Código IBGE do Município,Código da Unidade da Federação,Sigla da Unidade da Federação,Nome das Grandes Regiões,Automóvel - Tipo de Veículo,Caminhão - Tipo de Veículo,Caminhão trator - Tipo de Veículo,Caminhonete - Tipo de Veículo,Camioneta - Tipo de Veículo,Micro-ônibus - Tipo de Veículo,Motocicleta - Tipo de Veículo,Motoneta - Tipo de Veículo,Ônibus - Tipo de Veículo,Outros - Tipo de Veículo,Total de Veículos,Trator de rodas - Tipo de Veículo,Utilitário - Tipo de Veículo
220680,22,PI,Nordeste,45,6,0,26,6,5,587,75,5,0,755,0,0
220690,22,PI,Nordeste,89,17,0,58,9,3,512,68,9,0,767,0,2
220695,22,PI,Nordeste,33,9,0,27,1,2,197,7,4,1,281,0,0
220700,22,PI,Nordeste,1461,311,60,651,69,40,5257,1084,41,136,9131,1,20
220710,22,PI,Nordeste,47,4,0,22,2,1,264,54,2,0,396,0,0
220720,22,PI,Nordeste,82,12,1,34,8,7,283,43,3,5,479,0,1
220730,22,PI,Nordeste,45,4,0,26,5,2,105,8,1,0,196,0,0
220735,22,PI,Nordeste,20,10,0,36,2,2,117,11,4,0,202,0,0
220740,22,PI,Nordeste,76,27,0,78,5,3,305,22,1,1,518,0,0
220750,22,PI,Nordeste,164,11,0,43,5,3,647,77,8,7,965,0,0
220755,22,PI,Nordeste,96,8,0,22,7,8,213,14,4,0,372,0,0
220760,22,PI,Nordeste,33,8,1,16,0,1,557,61,1,2,680,0,0
220770,22,PI,Nordeste,14851,978,73,2527,559,108,30414,8276,233,461,58662,2,180
220775,22,PI,Nordeste,78,3,0,16,4,1,245,7,3,2,359,0,0
220777,22,PI,Nordeste,50,17,0,64,1,3,330,12,6,1,484,0,0
220779,22,PI,Nordeste,35,4,0,17,0,0,218,21,5,1,301,0,0
220780,22,PI,Nordeste,465,148,4,390,26,9,3748,287,19,18,5115,0,1
220785,22,PI,Nordeste,27,4,1,24,4,2,169,21,0,1,253,0,0
220790,22,PI,Nordeste,891,98,3,557,69,14,2977,854,10,9,5488,0,6
220793,22,PI,Nordeste,25,5,0,15,1,0,100,7,1,0,154,0,0
220795,22,PI,Nordeste,35,1,0,43,1,3,257,11,2,0,353,0,0
220800,22,PI,Nordeste,9443,1552,162,2470,423,125,20433,4113,88,445,39321,1,66
220810,22,PI,Nordeste,120,35,0,61,4,8,464,34,2,0,730,0,2
220820,22,PI,Nordeste,214,45,0,116,9,9,794,86,9,4,1286,0,0
220830,22,PI,Nordeste,976,198,18,400,31,12,3440,860,37,82,6063,0,9
220840,22,PI,Nordeste,3226,331,6,791,147,41,10328,3586,120,155,18753,0,22
220850,22,PI,Nordeste,74,5,0,35,7,4,517,100,1,2,747,0,2
220855,22,PI,Nordeste,18,5,0,9,2,3,106,6,2,1,152,0,0
220860,22,PI,Nordeste,36,8,0,9,3,1,161,11,2,1,232,0,0
220865,22,PI,Nordeste,26,8,0,37,2,3,343,21,5,0,445,0,0
220870,22,PI,Nordeste,70,12,0,33,3,0,703,36,12,0,869,0,0
220880,22,PI,Nordeste,437,77,7,206,18,9,1553,363,10,15,2697,0,2
220885,22,PI,Nordeste,3,2,0,12,1,1,192,25,2,0,238,0,0
220887,22,PI,Nordeste,10,5,0,25,3,2,45,8,2,2,102,0,0
220890,22,PI,Nordeste,57,18,1,30,5,0,341,113,2,4,571,0,0
220900,22,PI,Nordeste,81,21,2,38,2,7,261,33,3,8,456,0,0
220910,22,PI,Nordeste,160,15,0,52,5,14,346,14,2,1,609,0,0
220915,22,PI,Nordeste,42,3,1,14,2,1,220,28,3,0,314,0,0
220920,22,PI,Nordeste,17,11,0,18,1,1,263,55,2,1,370,0,1
220930,22,PI,Nordeste,70,7,0,22,3,1,336,61,2,0,502,0,0
220935,22,PI,Nordeste,94,18,0,39,2,11,543,68,10,0,785,0,0
220937,22,PI,Nordeste,46,7,0,36,4,7,307,76,9,1,493,0,0
220940,22,PI,Nordeste,228,40,8,109,9,11,265,38,4,13,725,0,0
220945,22,PI,Nordeste,29,3,0,9,2,3,112,8,2,0,169,0,1
220950,22,PI,Nordeste,59,4,0,16,5,3,209,21,1,2,320,0,0
220955,22,PI,Nordeste,39,7,0,24,2,1,206,14,3,0,296,0,0
220960,22,PI,Nordeste,66,4,0,24,4,2,245,34,1,0,380,0,0
220965,22,PI,Nordeste,23,1,1,60,0,0,258,6,1,2,352,0,0
220970,22,PI,Nordeste,61,6,0,27,1,3,312,18,7,0,436,0,1
220975,22,PI,Nordeste,11,1,0,9,0,1,141,10,1,0,174,0,0
220980,22,PI,Nordeste,155,10,0,41,4,3,571,95,5,4,888,0,0
220985,22,PI,Nordeste,84,14,0,64,4,8,376,33,5,0,588,0,0
220987,22,PI,Nordeste,43,3,1,18,2,1,81,25,5,1,180,0,0
220990,22,PI,Nordeste,66,8,0,22,2,0,472,61,1,2,634,0,0
220995,22,PI,Nordeste,59,1,0,35,1,6,248,21,2,2,376,0,1
220997,22,PI,Nordeste,32,7,0,41,1,2,390,62,3,3,541,0,0
221000,22,PI,Nordeste,583,92,4,340,22,13,2184,425,12,10,3688,0,3
221005,22,PI,Nordeste,87,10,0,22,4,3,319,28,2,2,477,0,0
221010,22,PI,Nordeste,30,2,0,32,4,2,117,12,2,0,201,0,0
221020,22,PI,Nordeste,118,29,4,118,16,7,448,118,4,4,866,0,0
221030,22,PI,Nordeste,166,18,2,46,2,9,347,37,3,6,637,0,1
221035,22,PI,Nordeste,45,1,0,19,0,1,315,25,3,0,409,0,0
221037,22,PI,Nordeste,44,10,0,40,1,4,256,12,1,0,368,0,0
221038,22,PI,Nordeste,62,8,0,17,1,2,170,29,2,0,292,0,1
221039,22,PI,Nordeste,7,1,0,10,0,1,79,3,2,0,103,0,0
221040,22,PI,Nordeste,167,24,0,148,14,3,945,113,14,1,1432,0,3
221050,22,PI,Nordeste,255,35,3,84,10,1,1249,122,6,8,1774,0,1
221060,22,PI,Nordeste,1526,221,18,601,52,22,5867,1015,33,39,9400,1,5
221062,22,PI,Nordeste,4,2,0,9,0,2,131,17,1,0,166,0,0
221063,22,PI,Nordeste,46,20,1,16,2,1,298,58,2,2,446,0,0
221065,22,PI,Nordeste,90,27,0,49,7,6,528,58,2,3,770,0,0
221070,22,PI,Nordeste,135,48,2,102,11,6,906,83,5,1,1299,0,0
221080,22,PI,Nordeste,390,51,3,214,25,7,1013,129,7,5,1844,0,0
221090,22,PI,Nordeste,49,2,0,36,9,1,146,10,1,0,254,0,0
221093,22,PI,Nordeste,240,29,2,99,8,16,860,217,5,5,1481,0,0
221095,22,PI,Nordeste,17,2,0,13,2,1,63,7,1,0,106,0,0
221097,22,PI,Nordeste,39,8,0,18,3,2,174,27,4,0,275,0,0
221100,22,PI,Nordeste,155055,10095,757,26525,7471,953,120667,14800,2574,6946,348120,8,2269
221110,22,PI,Nordeste,963,107,2,258,54,30,3904,573,38,22,5954,0,3
221120,22,PI,Nordeste,499,137,50,349,30,10,3219,782,12,111,5204,0,5
221130,22,PI,Nordeste,1048,122,2,376,47,24,2765,693,23,25,5127,0,2
221135,22,PI,Nordeste,40,9,0,20,0,2,203,7,6,0,287,0,0
221140,22,PI,Nordeste,44,9,0,46,2,4,277,64,3,0,449,0,0
221150,22,PI,Nordeste,50,7,0,23,3,5,232,10,0,2,333,0,1
221160,22,PI,Nordeste,117,12,6,31,6,6,235,13,4,6,436,0,0
221170,22,PI,Nordeste,83,9,0,34,9,10,114,8,5,1,274,0,1
230010,23,CE,Nordeste,246,11,0,112,6,26,1023,51,5,14,1494,0,0
230015,23,CE,Nordeste,692,96,3,78,26,19,846,40,131,14,1951,0,6
230020,23,CE,Nordeste,1672,203,0,837,84,18,5214,916,44,45,9053,0,20
230030,23,CE,Nordeste,1707,323,10,599,55,21,7109,771,34,22,10661,0,10
230040,23,CE,Nordeste,168,22,3,73,9,5,1422,62,3,9,1776,0,0
230050,23,CE,Nordeste,314,40,0,97,17,12,1670,244,18,0,2415,0,3
230060,23,CE,Nordeste,239,19,0,75,17,8,747,54,3,4,1167,0,1
230070,23,CE,Nordeste,461,148,3,165,16,11,1930,262,16,11,3025,0,2
230075,23,CE,Nordeste,800,173,7,411,32,23,3359,239,27,15,5095,0,9
230080,23,CE,Nordeste,220,37,0,82,6,6,998,78,3,6,1437,0,1
230090,23,CE,Nordeste,344,72,0,124,10,8,1653,180,4,9,2412,0,8
230100,23,CE,Nordeste,5477,523,30,724,341,131,5530,116,86,212,13263,2,91
230110,23,CE,Nordeste,4991,443,67,844,355,85,6089,1546,126,207,14816,0,63
230120,23,CE,Nordeste,972,108,4,149,24,10,2685,48,15,30,4047,0,2
230125,23,CE,Nordeste,280,28,0,137,10,4,1580,124,3,4,2171,0,1
230130,23,CE,Nordeste,567,56,0,246,28,89,2560,76,28,15,3666,0,1
230140,23,CE,Nordeste,206,62,0,79,6,3,1554,10,12,6,1940,0,2
230150,23,CE,Nordeste,133,28,0,70,9,7,985,68,2,2,1304,0,0
230160,23,CE,Nordeste,585,90,0,285,34,26,2839,242,6,17,4125,0,1
230170,23,CE,Nordeste,612,80,20,209,22,34,2295,111,9,28,3431,0,11
230180,23,CE,Nordeste,441,16,0,101,24,16,561,40,5,3,1207,0,0
230185,23,CE,Nordeste,503,102,0,148,15,12,1579,141,18,10,2529,0,1
230190,23,CE,Nordeste,3652,316,75,928,156,69,6437,455,79,248,12457,0,42
230195,23,CE,Nordeste,1201,111,1,219,35,9,2492,157,10,41,4279,0,3
230200,23,CE,Nordeste,775,56,3,219,41,31,1602,177,13,48,2967,0,2
230205,23,CE,Nordeste,167,35,1,181,16,7,982,154,5,5,1558,0,5
230210,23,CE,Nordeste,1629,208,1,316,76,20,4348,260,32,57,6959,0,12
230220,23,CE,Nordeste,3253,213,17,539,139,52,2675,128,56,105,7210,0,33
230230,23,CE,Nordeste,901,103,0,350,31,9,3233,410,28,15,5101,0,21
230240,23,CE,Nordeste,1817,409,15,515,61,17,9746,523,45,47,13214,0,19
230250,23,CE,Nordeste,3193,359,14,1422,116,75,6108,837,52,107,12326,0,43
230260,23,CE,Nordeste,2309,194,5,784,105,41,5824,1337,34,76,10748,0,39
230270,23,CE,Nordeste,1397,197,5,619,55,73,5110,451,44,50,8015,0,14
230280,23,CE,Nordeste,3329,521,5,707,131,24,10475,1021,63,138,16464,0,50
230290,23,CE,Nordeste,576,62,1,144,17,7,1742,74,11,10,2644,0,0
230300,23,CE,Nordeste,549,67,2,94,29,6,1711,52,13,16,2549,0,10
230310,23,CE,Nordeste,473,66,0,126,17,17,2325,159,23,6,3216,0,4
230320,23,CE,Nordeste,826,53,0,415,33,36,3125,145,11,18,4666,0,4
230330,23,CE,Nordeste,391,53,19,214,17,22,2098,304,6,45,3174,0,5
230340,23,CE,Nordeste,522,74,0,203,29,21,1367,376,9,3,2604,0,0
230350,23,CE,Nordeste,5390,441,5,686,231,48,4432,526,103,147,12037,0,28
230360,23,CE,Nordeste,278,39,0,131,16,5,1694,93,1,1,2264,0,6
230365,23,CE,Nordeste,221,31,0,72,12,10,899,90,5,4,1347,0,3
230370,23,CE,Nordeste,26881,1486,157,2836,1457,215,22642,407,350,870,57584,0,283
230380,23,CE,Nordeste,875,82,4,292,34,35,3981,441,28,21,5797,0,4
230390,23,CE,Nordeste,179,29,0,114,15,13,957,240,7,5,1561,0,2
230393,23,CE,Nordeste,196,50,0,54,6,10,1328,26,18,2,1690,0,0
230395,23,CE,Nordeste,1682,124,36,217,64,14,1520,69,39,81,3850,1,3
230400,23,CE,Nordeste,555,103,1,154,25,13,2138,443,28,14,3478,0,4
230410,23,CE,Nordeste,4447,331,12,1443,192,66,12702,2664,74,97,22084,0,56
230420,23,CE,Nordeste,11765,957,88,2327,479,128,16906,2197,93,368,35416,1,107
230423,23,CE,Nordeste,477,56,0,215,13,18,1904,247,11,6,2951,0,4
230425,23,CE,Nordeste,878,127,4,464,56,23,2854,577,61,18,5091,0,29
230426,23,CE,Nordeste,205,23,0,80,8,5,1445,36,10,3,1816,0,1
230427,23,CE,Nordeste,73,2,0,26,4,1,530,29,2,1,669,0,1
230428,23,CE,Nordeste,6269,1079,245,1361,496,58,4100,66,56,535,14529,8,256
230430,23,CE,Nordeste,446,86,1,206,26,30,1977,97,17,5,2895,0,4
230435,23,CE,Nordeste,820,112,7,147,20,28,3063,384,33,17,4633,0,2
230440,23,CE,Nordeste,483448,20753,3386,54491,28747,3057,208184,5826,6361,19811,848297,164,14069
230445,23,CE,Nordeste,796,28,2,158,45,29,626,124,17,27,1856,0,4
230450,23,CE,Nordeste,456,81,2,109,16,11,2123,520,18,18,3362,0,8
230460,23,CE,Nordeste,156,33,0,43,8,2,612,29,3,3,890,0,1
230465,23,CE,Nordeste,197,25,0,101,12,7,1738,250,6,1,2337,0,0
230470,23,CE,Nordeste,781,172,3,658,55,33,3460,465,22,26,5686,0,11
230480,23,CE,Nordeste,69,7,0,30,0,4,189,8,2,0,309,0,0
230490,23,CE,Nordeste,358,57,0,90,10,22,2398,304,17,1,3263,0,6
230495,23,CE,Nordeste,777,77,1,113,52,24,1533,29,10,18,2642,0,8
230500,23,CE,Nordeste,2259,389,5,787,62,15,5292,1353,18,61,10271,0,30
230510,23,CE,Nordeste,262,34,0,52,13,1,752,35,6,3,1162,0,4
230520,23,CE,Nordeste,566,130,0,206,15,17,2553,532,14,10,4048,0,5
230523,23,CE,Nordeste,4379,384,18,568,289,85,6410,538,77,114,12951,3,86
230526,23,CE,Nordeste,372,59,1,68,19,7,1203,37,18,6,1790,0,0
230530,23,CE,Nordeste,957,130,0,241,33,24,2345,412,20,16,4186,0,8
230533,23,CE,Nordeste,332,75,4,71,9,9,1294,65,9,9,1878,0,1
230535,23,CE,Nordeste,615,75,1,178,31,23,2717,532,56,30,4261,0,3
230540,23,CE,Nordeste,2621,311,23,741,96,64,9946,1516,56,73,15467,0,20
230550,23,CE,Nordeste,7616,980,57,1922,431,62,19557,4004,104,311,35121,0,77
230560,23,CE,Nordeste,999,195,4,494,29,3,4763,645,17,17,7173,0,7
230565,23,CE,Nordeste,265,26,1,151,7,4,1853,140,4,1,2452,0,0
230570,23,CE,Nordeste,3011,238,7,977,161,58,2792,251,33,62,7600,0,10
230580,23,CE,Nordeste,1937,250,4,647,67,28,5157,1794,27,56,9995,0,28
230590,23,CE,Nordeste,1003,80,0,638,39,26,4937,553,8,18,7317,0,15
230600,23,CE,Nordeste,548,55,2,191,28,10,2766,177,10,16,3806,0,3
230610,23,CE,Nordeste,507,96,1,146,30,12,1842,218,21,12,2891,0,6
230620,23,CE,Nordeste,390,31,0,69,16,5,1200,125,11,17,1864,0,0
230625,23,CE,Nordeste,2203,347,61,251,129,56,2927,122,23,137,6272,1,15
230630,23,CE,Nordeste,2116,267,5,568,64,31,6260,718,26,69,10152,0,28
230640,23,CE,Nordeste,4369,777,19,1431,171,27,14967,2120,53,181,24201,0,86
230650,23,CE,Nordeste,498,68,0,130,15,4,1626,77,16,6,2440,0,0
230655,23,CE,Nordeste,916,112,0,668,49,8,3208,404,33,16,5430,0,16
230660,23,CE,Nordeste,518,114,0,133,15,5,1806,81,12,4,2690,0,2
230670,23,CE,Nordeste,501,92,1,219,30,5,2630,216,13,9,3718,0,2
230680,23,CE,Nordeste,402,73,3,183,19,8,1736,298,8,12,2745,0,3
230690,23,CE,Nordeste,1599,361,31,614,51,27,5949,598,22,107,9382,0,23
230700,23,CE,Nordeste,1137,244,11,267,63,12,5270,782,12,54,7865,0,13
230710,23,CE,Nordeste,964,88,6,559,39,62,3275,210,10,31,5248,0,4
230720,23,CE,Nordeste,363,23,1,96,11,26,524,42,6,4,1097,0,1
230725,23,CE,Nordeste,744,66,1,489,75,10,2262,271,11,16,3988,0,43
230730,23,CE,Nordeste,25221,1706,112,5289,956,179,39395,6201,218,1061,80686,0,348
230740,23,CE,Nordeste,552,97,2,228,18,6,3200,333,22,24,4488,0,6
230750,23,CE,Nordeste,879,94,9,198,32,20,2740,165,19,17,4178,0,5
230760,23,CE,Nordeste,4829,675,84,949,179,27,10747,3758,120,270,21691,0,53
230763,23,CE,Nordeste,484,96,2,87,11,4,1893,77,14,12,2683,0,3
230765,23,CE,Nordeste,21529,1496,266,2107,1009,210,17058,343,334,1031,45562,3,176
230770,23,CE,Nordeste,6375,547,27,827,369,118,7579,130,202,231,16458,0,53
230780,23,CE,Nordeste,779,232,10,335,30,15,3096,315,13,42,4885,0,18
230790,23,CE,Nordeste,165,26,1,71,14,11,872,150,2,1,1316,0,3
230800,23,CE,Nordeste,985,88,5,182,35,25,4024,541,73,16,5983,0,9
230810,23,CE,Nordeste,1469,126,5,586,46,55,4207,362,39,44,6949,0,10
230820,23,CE,Nordeste,311,34,0,123,14,11,1591,232,15,5,2342,0,6
230830,23,CE,Nordeste,1234,92,2,288,43,36,2120,294,19,51,4189,0,10
230835,23,CE,Nordeste,436,65,2,137,17,5,2576,116,13,7,3376,0,2
230837,23,CE,Nordeste,141,25,1,81,3,0,1089,58,5,0,1406,0,3
230840,23,CE,Nordeste,1351,203,17,628,65,61,3747,190,10,192,6475,0,11
230850,23,CE,Nordeste,1353,230,2,499,94,15,5204,595,15,29,8046,0,10
230860,23,CE,Nordeste,452,72,0,168,25,8,2403,227,3,5,3368,0,5
230870,23,CE,Nordeste,3114,437,29,819,142,49,8857,1499,72,129,15165,0,18
230880,23,CE,Nordeste,174,22,0,46,4,4,843,90,10,1,1195,0,1
230890,23,CE,Nordeste,568,76,0,175,26,13,1944,414,21,11,3257,0,9
230900,23,CE,Nordeste,394,35,0,116,9,19,2011,525,9,2,3122,0,2
230910,23,CE,Nordeste,239,70,1,55,8,7,1040,51,9,6,1486,0,0
230920,23,CE,Nordeste,524,105,3,168,26,32,1682,152,8,20,2720,0,0
230930,23,CE,Nordeste,1569,183,7,394,52,16,5508,702,7,28,8483,0,17
230940,23,CE,Nordeste,959,67,0,450,47,28,5708,645,13,23,7948,0,8
230945,23,CE,Nordeste,1190,123,7,232,29,13,2738,78,41,28,4483,0,4
230950,23,CE,Nordeste,692,123,4,296,20,23,2458,240,26,14,3906,0,10
230960,23,CE,Nordeste,6337,619,42,747,280,88,6212,1020,181,280,15850,0,44
230970,23,CE,Nordeste,3816,189,19,296,164,68,3970,54,20,148,8759,0,15
230980,23,CE,Nordeste,361,97,0,78,16,4,1429,40,13,4,2043,0,1
230990,23,CE,Nordeste,201,30,16,56,6,4,857,134,11,25,1342,0,2
231000,23,CE,Nordeste,381,54,0,104,42,14,1737,122,12,11,2478,0,1
231010,23,CE,Nordeste,269,39,0,56,16,12,929,28,14,7,1371,0,1
231020,23,CE,Nordeste,1913,185,3,307,98,23,2306,172,30,70,5135,0,28
231025,23,CE,Nordeste,1359,212,9,255,45,18,3034,224,20,40,5225,0,9
231030,23,CE,Nordeste,808,201,9,324,17,3,5247,487,14,23,7138,0,5
231040,23,CE,Nordeste,328,53,1,67,15,4,1270,35,11,5,1791,0,2
231050,23,CE,Nordeste,1291,272,2,421,59,20,6370,794,29,28,9294,0,8
231060,23,CE,Nordeste,353,34,3,111,16,36,1305,74,19,9,1960,0,0
231070,23,CE,Nordeste,1455,231,3,353,61,13,4251,670,20,31,7104,0,16
231080,23,CE,Nordeste,464,82,1,188,13,12,5258,195,27,11,6260,0,9
231085,23,CE,Nordeste,1206,149,3,230,55,20,1349,45,13,47,3130,0,13
231090,23,CE,Nordeste,364,36,0,172,20,6,1712,133,9,17,2472,0,3
231095,23,CE,Nordeste,200,16,0,89,6,5,1021,153,3,2,1495,0,0
231100,23,CE,Nordeste,217,18,0,195,16,10,1445,153,2,4,2064,0,4
231110,23,CE,Nordeste,570,23,0,249,25,139,1072,62,18,10,2168,0,0
231120,23,CE,Nordeste,272,25,1,101,15,6,1051,49,5,6,1534,0,3
231123,23,CE,Nordeste,167,27,0,67,11,4,925,80,6,4,1291,0,0
231126,23,CE,Nordeste,400,56,0,301,23,12,3289,418,6,10,4519,0,4
231130,23,CE,Nordeste,5416,673,36,969,215,47,12203,2532,86,237,22467,0,53
231135,23,CE,Nordeste,323,60,1,169,11,18,2626,80,26,3,3319,0,2
231140,23,CE,Nordeste,3114,437,15,680,100,33,10473,1233,92,111,16324,0,36
231150,23,CE,Nordeste,1047,196,8,238,32,14,3687,889,41,36,6192,0,4
231160,23,CE,Nordeste,1426,206,1,213,46,35,2802,86,36,42,4905,0,12
231170,23,CE,Nordeste,610,78,2,211,16,19,2326,283,22,30,3605,0,8
231180,23,CE,Nordeste,4570,780,108,916,200,46,15843,3006,101,354,26003,1,78
231190,23,CE,Nordeste,237,38,1,163,22,10,1842,155,4,8,2480,0,0
231195,23,CE,Nordeste,202,65,2,130,16,8,974,63,26,5,1492,0,1
231200,23,CE,Nordeste,701,150,0,218,32,30,2926,564,26,20,4674,0,7
231210,23,CE,Nordeste,426,64,1,184,17,26,1444,74,13,8,2258,0,1
231220,23,CE,Nordeste,1504,272,5,521,42,33,6260,820,16,70,9557,0,14
231230,23,CE,Nordeste,2453,410,21,814,160,89,5479,1572,47,70,11139,0,24
231240,23,CE,Nordeste,3146,308,46,418,202,71,3988,245,147,168,8791,5,47
231250,23,CE,Nordeste,448,47,9,112,14,3,1500,403,11,16,2563,0,0
231260,23,CE,Nordeste,431,53,2,91,27,4,1081,120,11,15,1836,0,1
231270,23,CE,Nordeste,982,151,0,275,34,14,3722,316,38,32,5572,0,8
231280,23,CE,Nordeste,160,22,6,55,8,5,650,48,11,9,976,0,2
231290,23,CE,Nordeste,17087,1462,159,3067,681,218,34242,8848,327,740,67266,1,434
231300,23,CE,Nordeste,468,85,0,198,15,5,3230,95,15,12,4124,0,1
231310,23,CE,Nordeste,2159,338,425,453,82,34,6140,2797,44,501,12991,0,18
231320,23,CE,Nordeste,744,82,0,317,25,17,3520,355,23,9,5096,0,4
231325,23,CE,Nordeste,138,17,0,92,12,4,1015,97,6,0,1382,0,1
231330,23,CE,Nordeste,2440,410,11,844,109,36,10740,1196,41,65,15920,3,25
231335,23,CE,Nordeste,352,75,0,109,9,4,1435,58,11,1,2057,0,3
231340,23,CE,Nordeste,6371,1335,27,2013,335,177,9996,2876,143,326,23712,0,113
231350,23,CE,Nordeste,1441,187,1,494,69,21,3900,247,36,50,6452,0,6
231355,23,CE,Nordeste,467,48,1,193,24,6,1378,42,6,3,2171,0,3
231360,23,CE,Nordeste,1716,277,9,419,80,18,3949,717,50,59,7318,0,24
231370,23,CE,Nordeste,196,7,0,51,12,3,391,24,5,2,691,0,0
231375,23,CE,Nordeste,659,50,2,88,24,34,1094,63,20,11,2046,0,1
231380,23,CE,Nordeste,449,69,1,148,7,9,2101,200,35,12,3035,0,4
231390,23,CE,Nordeste,257,58,3,122,10,11,1410,143,15,10,2040,0,1
231395,23,CE,Nordeste,878,122,0,285,22,30,2873,619,6,30,4873,0,8
231400,23,CE,Nordeste,1456,231,7,510,52,41,6272,657,43,37,9320,0,14
231410,23,CE,Nordeste,1484,322,8,1082,89,36,5804,1324,68,41,10272,0,14
240010,24,RN,Nordeste,815,93,1,159,43,10,1160,137,8,14,2445,0,5
240020,24,RN,Nordeste,4626,554,29,996,196,53,6798,1525,73,206,15103,0,47
240030,24,RN,Nordeste,361,23,0,79,10,3,558,48,6,2,1091,0,1
240040,24,RN,Nordeste,98,6,0,26,4,11,442,41,2,2,632,0,0
240050,24,RN,Nordeste,801,57,1,236,39,32,1522,162,12,33,2900,0,5
240060,24,RN,Nordeste,178,16,0,47,9,9,592,85,1,5,943,0,1
240070,24,RN,Nordeste,991,148,5,248,26,15,1609,236,22,39,3350,0,11
240080,24,RN,Nordeste,756,109,5,229,46,11,1258,98,10,25,2551,0,4
240090,24,RN,Nordeste,222,13,0,64,11,10,640,92,2,6,1062,0,2
240100,24,RN,Nordeste,1924,265,17,562,64,18,4735,1685,23,44,9355,0,18
240110,24,RN,Nordeste,2024,117,10,298,63,40,2304,894,55,57,5877,0,15
240120,24,RN,Nordeste,640,53,3,99,17,9,658,53,27,114,1679,0,6
240130,24,RN,Nordeste,330,43,1,116,10,8,819,68,4,9,1408,0,0
240140,24,RN,Nordeste,560,51,3,85,17,2,264,19,19,93,1118,0,5
240145,24,RN,Nordeste,1114,159,10,287,39,23,2069,336,15,26,4090,0,12
240150,24,RN,Nordeste,162,25,0,39,6,2,315,17,2,1,569,0,0
240160,24,RN,Nordeste,267,16,0,23,8,6,401,11,7,2,741,0,0
240165,24,RN,Nordeste,146,7,0,35,1,4,200,5,1,1,400,0,0
240170,24,RN,Nordeste,562,44,1,99,21,2,738,24,7,6,1506,0,2
240180,24,RN,Nordeste,624,65,0,106,28,12,1272,62,12,10,2191,0,0
240185,24,RN,Nordeste,122,15,0,52,6,1,299,19,4,0,519,0,1
240190,24,RN,Nordeste,217,17,0,34,11,4,186,4,2,4,479,0,0
240200,24,RN,Nordeste,9599,1573,73,2773,475,90,10505,3315,47,299,28831,0,82
240210,24,RN,Nordeste,494,40,0,80,17,14,740,70,9,2,1467,0,1
240220,24,RN,Nordeste,1751,136,2,238,104,26,2302,206,64,70,4918,0,19
240230,24,RN,Nordeste,1191,142,26,356,51,21,2436,556,10,43,4841,0,9
240240,24,RN,Nordeste,608,200,24,119,25,10,822,183,7,45,2053,0,10
240250,24,RN,Nordeste,517,42,2,79,17,19,751,109,13,8,1559,0,2
240260,24,RN,Nordeste,5488,290,8,834,215,37,4274,314,113,119,11725,0,33
240270,24,RN,Nordeste,537,82,0,168,32,8,1069,70,7,5,1979,0,1
240280,24,RN,Nordeste,215,35,0,34,10,7,309,23,5,2,640,0,0
240290,24,RN,Nordeste,125,8,0,44,4,2,351,20,1,0,556,0,1
240300,24,RN,Nordeste,388,72,1,123,27,10,857,69,6,4,1559,0,2
240310,24,RN,Nordeste,5139,607,70,958,230,53,6227,1214,55,184,14781,0,44
240320,24,RN,Nordeste,153,15,0,63,8,7,652,65,8,1,975,0,3
240325,24,RN,Nordeste,40563,1858,281,4166,1801,350,17650,1209,368,1156,70271,3,866
240330,24,RN,Nordeste,168,14,0,50,10,10,638,62,8,0,961,0,1
240340,24,RN,Nordeste,274,98,7,78,11,4,275,35,2,24,808,0,0
240350,24,RN,Nordeste,381,22,0,48,19,3,529,11,13,1,1028,1,0
240360,24,RN,Nordeste,2573,49,3,271,94,20,1506,56,31,43,4668,0,22
240370,24,RN,Nordeste,340,14,0,79,11,6,790,265,5,6,1519,0,3
240375,24,RN,Nordeste,128,20,1,33,8,2,168,8,2,5,375,0,0
240380,24,RN,Nordeste,444,51,0,132,25,9,1029,80,2,11,1786,0,3
240390,24,RN,Nordeste,138,9,0,43,6,4,454,65,2,1,722,0,0
240400,24,RN,Nordeste,200,18,0,45,11,11,572,74,2,15,948,0,0
240410,24,RN,Nordeste,77,8,0,14,5,3,42,0,3,1,155,0,2
240420,24,RN,Nordeste,1728,155,1,234,103,39,1560,91,59,70,4056,4,12
240430,24,RN,Nordeste,615,127,5,108,20,24,1483,296,17,11,2708,0,2
240440,24,RN,Nordeste,500,51,7,91,5,3,1025,190,10,23,1910,0,5
240450,24,RN,Nordeste,997,86,0,185,25,20,1178,143,32,13,2686,0,7
240460,24,RN,Nordeste,408,46,0,78,17,4,647,14,23,3,1244,1,3
240470,24,RN,Nordeste,696,79,3,171,22,22,1280,171,53,23,2529,0,9
240480,24,RN,Nordeste,77,12,0,31,2,6,191,32,6,2,359,0,0
240485,24,RN,Nordeste,389,100,8,80,14,3,722,128,4,13,1463,0,2
240490,24,RN,Nordeste,312,26,0,95,14,7,588,132,2,3,1182,0,3
240500,24,RN,Nordeste,686,111,11,129,36,38,1091,134,19,40,2295,0,0
240510,24,RN,Nordeste,271,43,0,71,3,0,412,16,11,4,832,0,1
240520,24,RN,Nordeste,186,15,0,49,4,3,509,46,3,1,816,0,0
